# FRONT piece boundary — closed 3D loop on the shell surface; coordinates mm, x lateral (+ wearer's left), y front-to-back (+ front), z height above waist
# piece split at the SOLVED armhole theta = +-102.9660 deg
segment,theta_deg,x_mm,y_mm,z_mm
neckline edge,16.6102,39.654,101.313,221.410
neckline edge,16.6960,39.857,101.337,221.423
neckline edge,16.7819,40.060,101.362,221.437
neckline edge,16.8677,40.263,101.386,221.451
neckline edge,16.9535,40.466,101.411,221.465
neckline edge,17.0394,40.669,101.435,221.479
neckline edge,17.1252,40.872,101.460,221.493
neckline edge,17.2111,41.075,101.485,221.508
neckline edge,17.2969,41.278,101.510,221.522
neckline edge,17.3827,41.482,101.534,221.536
neckline edge,17.4686,41.685,101.560,221.551
neckline edge,17.5544,41.887,101.585,221.565
neckline edge,17.6403,42.090,101.610,221.579
neckline edge,17.7261,42.293,101.635,221.594
neckline edge,17.8120,42.496,101.660,221.609
neckline edge,17.8978,42.699,101.685,221.623
neckline edge,17.9836,42.902,101.711,221.638
neckline edge,18.0695,43.105,101.736,221.653
neckline edge,18.1553,43.308,101.761,221.667
neckline edge,18.2412,43.511,101.786,221.682
neckline edge,18.3270,43.714,101.812,221.697
neckline edge,18.4128,43.917,101.837,221.712
neckline edge,18.4987,44.120,101.862,221.727
neckline edge,18.5845,44.322,101.887,221.742
neckline edge,18.6704,44.525,101.912,221.758
neckline edge,18.7562,44.728,101.938,221.773
neckline edge,18.8420,44.931,101.963,221.788
neckline edge,18.9279,45.134,101.987,221.803
neckline edge,19.0137,45.337,102.012,221.819
neckline edge,19.0996,45.540,102.037,221.834
neckline edge,19.1854,45.743,102.062,221.850
neckline edge,19.2712,45.946,102.086,221.865
neckline edge,19.3571,46.148,102.111,221.881
neckline edge,19.4429,46.351,102.135,221.896
neckline edge,19.5288,46.554,102.159,221.912
neckline edge,19.6146,46.757,102.184,221.928
neckline edge,19.7004,46.960,102.207,221.944
neckline edge,19.7863,47.163,102.231,221.960
neckline edge,19.8721,47.366,102.255,221.976
neckline edge,19.9580,47.569,102.278,221.992
neckline edge,20.0438,47.772,102.302,222.008
neckline edge,20.1297,47.975,102.325,222.024
neckline edge,20.2155,48.178,102.348,222.040
neckline edge,20.3013,48.381,102.370,222.056
neckline edge,20.3872,48.584,102.393,222.072
neckline edge,20.4730,48.788,102.415,222.089
neckline edge,20.5589,48.991,102.437,222.105
neckline edge,20.6447,49.194,102.459,222.121
neckline edge,20.7305,49.397,102.481,222.138
neckline edge,20.8164,49.600,102.502,222.154
neckline edge,20.9022,49.803,102.523,222.171
neckline edge,20.9881,50.007,102.544,222.188
neckline edge,21.0739,50.210,102.565,222.204
neckline edge,21.1597,50.414,102.585,222.221
neckline edge,21.2456,50.617,102.605,222.238
neckline edge,21.3314,50.820,102.625,222.255
neckline edge,21.4173,51.024,102.644,222.272
neckline edge,21.5031,51.227,102.664,222.289
neckline edge,21.5889,51.431,102.682,222.306
neckline edge,21.6748,51.634,102.701,222.323
neckline edge,21.7606,51.838,102.719,222.340
neckline edge,21.8465,52.042,102.737,222.357
neckline edge,21.9323,52.245,102.754,222.374
neckline edge,22.0181,52.449,102.771,222.391
neckline edge,22.1040,52.653,102.788,222.409
neckline edge,22.1898,52.856,102.804,222.426
neckline edge,22.2757,53.060,102.820,222.443
neckline edge,22.3615,53.264,102.836,222.461
neckline edge,22.4474,53.468,102.851,222.478
neckline edge,22.5332,53.672,102.866,222.496
neckline edge,22.6190,53.876,102.880,222.514
neckline edge,22.7049,54.080,102.894,222.531
neckline edge,22.7907,54.284,102.908,222.549
neckline edge,22.8766,54.488,102.921,222.567
neckline edge,22.9624,54.692,102.934,222.585
neckline edge,23.0482,54.897,102.946,222.602
neckline edge,23.1341,55.101,102.958,222.620
neckline edge,23.2199,55.305,102.969,222.638
neckline edge,23.3058,55.509,102.980,222.656
neckline edge,23.3916,55.714,102.990,222.674
neckline edge,23.4774,55.918,103.000,222.693
neckline edge,23.5633,56.123,103.009,222.711
neckline edge,23.6491,56.327,103.018,222.729
neckline edge,23.7350,56.532,103.026,222.747
neckline edge,23.8208,56.736,103.034,222.766
neckline edge,23.9066,56.941,103.041,222.784
neckline edge,23.9925,57.145,103.048,222.802
neckline edge,24.0783,57.350,103.054,222.821
neckline edge,24.1642,57.555,103.060,222.839
neckline edge,24.2500,57.760,103.065,222.858
neckline edge,24.3358,57.965,103.070,222.876
neckline edge,24.4217,58.169,103.074,222.895
neckline edge,24.5075,58.375,103.077,222.914
neckline edge,24.5934,58.579,103.080,222.933
neckline edge,24.6792,58.784,103.082,222.951
neckline edge,24.7651,58.989,103.084,222.970
neckline edge,24.8509,59.194,103.085,222.989
neckline edge,24.9367,59.399,103.085,223.008
neckline edge,25.0226,59.605,103.085,223.027
neckline edge,25.1084,59.809,103.084,223.046
neckline edge,25.1943,60.015,103.083,223.065
neckline edge,25.2801,60.220,103.081,223.084
neckline edge,25.3659,60.425,103.078,223.103
neckline edge,25.4518,60.630,103.074,223.123
neckline edge,25.5376,60.835,103.070,223.142
neckline edge,25.6235,61.041,103.066,223.161
neckline edge,25.7093,61.246,103.060,223.181
neckline edge,25.7951,61.451,103.054,223.200
neckline edge,25.8810,61.657,103.047,223.220
neckline edge,25.9668,61.862,103.040,223.239
neckline edge,26.0527,62.067,103.032,223.259
neckline edge,26.1385,62.273,103.023,223.278
neckline edge,26.2243,62.478,103.013,223.298
neckline edge,26.3102,62.683,103.003,223.317
neckline edge,26.3960,62.889,102.992,223.337
neckline edge,26.4819,63.094,102.980,223.357
neckline edge,26.5677,63.300,102.968,223.377
neckline edge,26.6535,63.505,102.955,223.397
neckline edge,26.7394,63.710,102.941,223.417
neckline edge,26.8252,63.916,102.926,223.437
neckline edge,26.9111,64.121,102.911,223.457
neckline edge,26.9969,64.326,102.895,223.477
neckline edge,27.0828,64.532,102.878,223.497
neckline edge,27.1686,64.737,102.860,223.517
neckline edge,27.2544,64.942,102.841,223.537
neckline edge,27.3403,65.147,102.822,223.557
neckline edge,27.4261,65.353,102.802,223.577
neckline edge,27.5120,65.558,102.781,223.598
neckline edge,27.5978,65.763,102.760,223.618
neckline edge,27.6836,65.968,102.737,223.639
neckline edge,27.7695,66.173,102.714,223.659
neckline edge,27.8553,66.378,102.690,223.679
neckline edge,27.9412,66.583,102.665,223.700
neckline edge,28.0270,66.788,102.639,223.721
neckline edge,28.1128,66.993,102.613,223.741
neckline edge,28.1987,67.198,102.586,223.762
neckline edge,28.2845,67.403,102.558,223.782
neckline edge,28.3704,67.608,102.529,223.803
neckline edge,28.4562,67.812,102.499,223.824
neckline edge,28.5420,68.017,102.468,223.845
neckline edge,28.6279,68.221,102.437,223.866
neckline edge,28.7137,68.426,102.405,223.887
neckline edge,28.7996,68.630,102.372,223.908
neckline edge,28.8854,68.834,102.338,223.929
neckline edge,28.9712,69.039,102.303,223.950
neckline edge,29.0571,69.243,102.267,223.971
neckline edge,29.1429,69.447,102.231,223.992
neckline edge,29.2288,69.651,102.193,224.013
neckline edge,29.3146,69.855,102.155,224.034
neckline edge,29.4005,70.059,102.116,224.055
neckline edge,29.4863,70.262,102.076,224.077
neckline edge,29.5721,70.466,102.036,224.098
neckline edge,29.6580,70.669,101.994,224.119
neckline edge,29.7438,70.872,101.952,224.141
neckline edge,29.8297,71.076,101.908,224.162
neckline edge,29.9155,71.279,101.864,224.184
neckline edge,30.0013,71.482,101.819,224.205
neckline edge,30.0872,71.684,101.773,224.227
neckline edge,30.1730,71.887,101.726,224.248
neckline edge,30.2589,72.090,101.679,224.270
neckline edge,30.3447,72.292,101.630,224.292
neckline edge,30.4305,72.494,101.581,224.313
neckline edge,30.5164,72.696,101.531,224.335
neckline edge,30.6022,72.898,101.480,224.357
neckline edge,30.6881,73.100,101.428,224.379
neckline edge,30.7739,73.302,101.375,224.401
neckline edge,30.8597,73.503,101.321,224.423
neckline edge,30.9456,73.705,101.267,224.444
neckline edge,31.0314,73.906,101.211,224.466
neckline edge,31.1173,74.107,101.155,224.489
neckline edge,31.2031,74.308,101.098,224.511
neckline edge,31.2889,74.508,101.040,224.533
neckline edge,31.3748,74.709,100.981,224.555
neckline edge,31.4606,74.909,100.922,224.577
neckline edge,31.5465,75.109,100.861,224.599
neckline edge,31.6323,75.309,100.800,224.622
neckline edge,31.7182,75.509,100.738,224.644
neckline edge,31.8040,75.708,100.675,224.666
neckline edge,31.8898,75.908,100.611,224.689
neckline edge,31.9757,76.107,100.546,224.711
neckline edge,32.0615,76.305,100.481,224.733
neckline edge,32.1474,76.504,100.414,224.756
neckline edge,32.2332,76.703,100.347,224.778
neckline edge,32.3190,76.901,100.279,224.801
neckline edge,32.4049,77.099,100.210,224.824
neckline edge,32.4907,77.297,100.140,224.846
neckline edge,32.5766,77.494,100.070,224.869
neckline edge,32.6624,77.692,99.999,224.892
neckline edge,32.7482,77.889,99.927,224.914
neckline edge,32.8341,78.086,99.854,224.937
neckline edge,32.9199,78.282,99.780,224.960
neckline edge,33.0058,78.479,99.705,224.983
neckline edge,33.0916,78.675,99.630,225.006
neckline edge,33.1774,78.871,99.554,225.029
neckline edge,33.2633,79.067,99.477,225.051
neckline edge,33.3491,79.262,99.399,225.074
neckline edge,33.4350,79.457,99.321,225.097
neckline edge,33.5208,79.652,99.242,225.121
neckline edge,33.6066,79.847,99.162,225.144
neckline edge,33.6925,80.041,99.081,225.167
neckline edge,33.7783,80.236,98.999,225.190
neckline edge,33.8642,80.430,98.917,225.213
neckline edge,33.9500,80.623,98.834,225.236
neckline edge,34.0359,80.817,98.750,225.260
neckline edge,34.1217,81.010,98.666,225.283
neckline edge,34.2075,81.203,98.580,225.306
neckline edge,34.2934,81.395,98.494,225.330
neckline edge,34.3792,81.588,98.408,225.353
neckline edge,34.4651,81.780,98.320,225.376
neckline edge,34.5509,81.972,98.232,225.400
neckline edge,34.6367,82.163,98.143,225.423
neckline edge,34.7226,82.355,98.054,225.447
neckline edge,34.8084,82.546,97.963,225.471
neckline edge,34.8943,82.737,97.872,225.494
neckline edge,34.9801,82.927,97.781,225.518
neckline edge,35.0659,83.117,97.688,225.541
neckline edge,35.1518,83.307,97.595,225.565
neckline edge,35.2376,83.497,97.501,225.589
neckline edge,35.3235,83.686,97.407,225.613
neckline edge,35.4093,83.875,97.312,225.636
neckline edge,35.4951,84.064,97.216,225.660
neckline edge,35.5810,84.253,97.120,225.684
neckline edge,35.6668,84.441,97.023,225.708
neckline edge,35.7527,84.629,96.925,225.732
neckline edge,35.8385,84.817,96.827,225.756
neckline edge,35.9243,85.004,96.728,225.780
neckline edge,36.0102,85.192,96.628,225.804
neckline edge,36.0960,85.378,96.528,225.828
neckline edge,36.1819,85.565,96.428,225.852
neckline edge,36.2677,85.751,96.326,225.876
neckline edge,36.3536,85.937,96.224,225.900
neckline edge,36.4394,86.123,96.121,225.925
neckline edge,36.5252,86.308,96.018,225.949
neckline edge,36.6111,86.494,95.915,225.973
neckline edge,36.6969,86.679,95.810,225.997
neckline edge,36.7828,86.863,95.705,226.022
neckline edge,36.8686,87.048,95.600,226.046
neckline edge,36.9544,87.232,95.494,226.070
neckline edge,37.0403,87.416,95.387,226.095
neckline edge,37.1261,87.599,95.280,226.119
neckline edge,37.2120,87.782,95.172,226.143
neckline edge,37.2978,87.965,95.064,226.168
neckline edge,37.3836,88.148,94.955,226.192
neckline edge,37.4695,88.331,94.846,226.217
neckline edge,37.5553,88.513,94.736,226.242
neckline edge,37.6412,88.695,94.626,226.266
neckline edge,37.7270,88.876,94.515,226.291
neckline edge,37.8128,89.058,94.403,226.315
neckline edge,37.8987,89.239,94.291,226.340
neckline edge,37.9845,89.420,94.179,226.365
neckline edge,38.0704,89.600,94.066,226.390
neckline edge,38.1562,89.780,93.953,226.414
neckline edge,38.2420,89.961,93.839,226.439
neckline edge,38.3279,90.140,93.725,226.464
neckline edge,38.4137,90.320,93.610,226.489
neckline edge,38.4996,90.499,93.495,226.514
neckline edge,38.5854,90.678,93.379,226.539
neckline edge,38.6713,90.857,93.263,226.563
neckline edge,38.7571,91.035,93.146,226.588
neckline edge,38.8429,91.213,93.029,226.613
neckline edge,38.9288,91.391,92.912,226.638
neckline edge,39.0146,91.569,92.794,226.664
neckline edge,39.1005,91.746,92.676,226.689
neckline edge,39.1863,91.924,92.557,226.714
neckline edge,39.2721,92.101,92.438,226.739
neckline edge,39.3580,92.277,92.318,226.764
neckline edge,39.4438,92.454,92.198,226.789
neckline edge,39.5297,92.630,92.078,226.814
neckline edge,39.6155,92.806,91.957,226.840
neckline edge,39.7013,92.982,91.836,226.865
neckline edge,39.7872,93.157,91.715,226.890
neckline edge,39.8730,93.332,91.593,226.915
neckline edge,39.9589,93.507,91.471,226.941
neckline edge,40.0447,93.682,91.348,226.966
neckline edge,40.1305,93.857,91.225,226.991
neckline edge,40.2164,94.031,91.102,227.017
neckline edge,40.3022,94.205,90.978,227.042
neckline edge,40.3881,94.379,90.854,227.068
neckline edge,40.4739,94.553,90.730,227.093
neckline edge,40.5597,94.726,90.605,227.119
neckline edge,40.6456,94.899,90.480,227.144
neckline edge,40.7314,95.072,90.355,227.170
neckline edge,40.8173,95.245,90.229,227.195
neckline edge,40.9031,95.418,90.103,227.221
neckline edge,40.9890,95.590,89.976,227.247
neckline edge,41.0748,95.762,89.850,227.272
neckline edge,41.1606,95.934,89.723,227.298
neckline edge,41.2465,96.106,89.596,227.324
neckline edge,41.3323,96.277,89.468,227.349
neckline edge,41.4182,96.448,89.340,227.375
neckline edge,41.5040,96.619,89.212,227.401
neckline edge,41.5898,96.790,89.084,227.427
neckline edge,41.6757,96.961,88.955,227.453
neckline edge,41.7615,97.131,88.826,227.478
neckline edge,41.8474,97.302,88.697,227.504
neckline edge,41.9332,97.472,88.567,227.530
neckline edge,42.0190,97.642,88.438,227.556
neckline edge,42.1049,97.811,88.308,227.582
neckline edge,42.1907,97.981,88.178,227.608
neckline edge,42.2766,98.150,88.047,227.634
neckline edge,42.3624,98.320,87.916,227.660
neckline edge,42.4482,98.488,87.785,227.686
neckline edge,42.5341,98.657,87.654,227.712
neckline edge,42.6199,98.826,87.523,227.738
neckline edge,42.7058,98.994,87.391,227.764
neckline edge,42.7916,99.163,87.259,227.790
neckline edge,42.8774,99.331,87.127,227.816
neckline edge,42.9633,99.499,86.995,227.843
neckline edge,43.0491,99.667,86.862,227.869
neckline edge,43.1350,99.834,86.730,227.895
neckline edge,43.2208,100.002,86.597,227.921
neckline edge,43.3067,100.169,86.464,227.947
neckline edge,43.3925,100.336,86.330,227.974
neckline edge,43.4783,100.503,86.197,228.000
neckline edge,43.5642,100.670,86.063,228.026
neckline edge,43.6500,100.837,85.929,228.053
neckline edge,43.7359,101.003,85.795,228.079
neckline edge,43.8217,101.170,85.661,228.105
neckline edge,43.9075,101.336,85.527,228.132
neckline edge,43.9934,101.502,85.392,228.158
neckline edge,44.0792,101.668,85.258,228.185
neckline edge,44.1651,101.834,85.123,228.211
neckline edge,44.2509,102.000,84.988,228.237
neckline edge,44.3367,102.165,84.853,228.264
neckline edge,44.4226,102.331,84.717,228.290
neckline edge,44.5084,102.496,84.582,228.317
neckline edge,44.5943,102.661,84.446,228.344
neckline edge,44.6801,102.827,84.311,228.370
neckline edge,44.7659,102.992,84.175,228.397
neckline edge,44.8518,103.156,84.039,228.423
neckline edge,44.9376,103.321,83.903,228.450
neckline edge,45.0235,103.486,83.766,228.476
neckline edge,45.1093,103.650,83.630,228.503
neckline edge,45.1951,103.815,83.494,228.530
neckline edge,45.2810,103.979,83.357,228.556
neckline edge,45.3668,104.143,83.220,228.583
neckline edge,45.4527,104.307,83.084,228.610
neckline edge,45.5385,104.471,82.947,228.637
neckline edge,45.6244,104.635,82.810,228.663
neckline edge,45.7102,104.799,82.673,228.690
neckline edge,45.7960,104.963,82.536,228.717
neckline edge,45.8819,105.126,82.398,228.744
neckline edge,45.9677,105.290,82.261,228.771
neckline edge,46.0536,105.453,82.124,228.797
neckline edge,46.1394,105.617,81.986,228.824
neckline edge,46.2252,105.780,81.849,228.851
neckline edge,46.3111,105.943,81.711,228.878
neckline edge,46.3969,106.106,81.573,228.905
neckline edge,46.4828,106.269,81.436,228.932
neckline edge,46.5686,106.432,81.298,228.959
neckline edge,46.6544,106.595,81.160,228.986
neckline edge,46.7403,106.758,81.022,229.013
neckline edge,46.8261,106.921,80.884,229.040
neckline edge,46.9120,107.084,80.746,229.067
neckline edge,46.9978,107.246,80.608,229.094
neckline edge,47.0836,107.409,80.470,229.121
neckline edge,47.1695,107.571,80.332,229.148
neckline edge,47.2553,107.734,80.194,229.175
neckline edge,47.3412,107.896,80.055,229.202
neckline edge,47.4270,108.059,79.917,229.229
neckline edge,47.5128,108.221,79.779,229.256
neckline edge,47.5987,108.383,79.641,229.283
neckline edge,47.6845,108.546,79.502,229.311
neckline edge,47.7704,108.708,79.364,229.338
neckline edge,47.8562,108.870,79.226,229.365
neckline edge,47.9421,109.032,79.088,229.392
neckline edge,48.0279,109.194,78.949,229.419
neckline edge,48.1137,109.356,78.811,229.446
neckline edge,48.1996,109.519,78.672,229.474
neckline edge,48.2854,109.680,78.534,229.501
neckline edge,48.3713,109.842,78.396,229.528
neckline edge,48.4571,110.004,78.258,229.555
neckline edge,48.5429,110.166,78.119,229.583
neckline edge,48.6288,110.328,77.981,229.610
neckline edge,48.7146,110.490,77.843,229.637
neckline edge,48.8005,110.652,77.705,229.665
neckline edge,48.8863,110.814,77.566,229.692
neckline edge,48.9721,110.976,77.428,229.719
neckline edge,49.0580,111.138,77.290,229.747
neckline edge,49.1438,111.299,77.152,229.774
neckline edge,49.2297,111.461,77.014,229.801
neckline edge,49.3155,111.623,76.876,229.829
neckline edge,49.4013,111.785,76.738,229.856
neckline edge,49.4872,111.947,76.600,229.884
neckline edge,49.5730,112.109,76.462,229.911
neckline edge,49.6589,112.271,76.324,229.939
neckline edge,49.7447,112.433,76.187,229.966
neckline edge,49.8305,112.595,76.049,229.993
neckline edge,49.9164,112.756,75.911,230.021
neckline edge,50.0022,112.919,75.774,230.048
neckline edge,50.0881,113.081,75.636,230.076
neckline edge,50.1739,113.242,75.499,230.103
neckline edge,50.2598,113.404,75.362,230.131
neckline edge,50.3456,113.567,75.224,230.159
neckline edge,50.4314,113.729,75.087,230.186
neckline edge,50.5173,113.891,74.950,230.214
neckline edge,50.6031,114.053,74.813,230.241
neckline edge,50.6890,114.215,74.676,230.269
neckline edge,50.7748,114.377,74.539,230.296
neckline edge,50.8606,114.540,74.402,230.324
neckline edge,50.9465,114.702,74.266,230.352
neckline edge,51.0323,114.864,74.129,230.379
neckline edge,51.1182,115.027,73.993,230.407
neckline edge,51.2040,115.189,73.856,230.434
neckline edge,51.2898,115.351,73.720,230.462
neckline edge,51.3757,115.514,73.584,230.490
neckline edge,51.4615,115.677,73.448,230.517
neckline edge,51.5474,115.839,73.312,230.545
neckline edge,51.6332,116.002,73.177,230.573
neckline edge,51.7190,116.165,73.041,230.600
neckline edge,51.8049,116.327,72.906,230.628
neckline edge,51.8907,116.491,72.770,230.656
neckline edge,51.9766,116.654,72.635,230.684
neckline edge,52.0624,116.816,72.500,230.711
neckline edge,52.1482,116.979,72.365,230.739
neckline edge,52.2341,117.143,72.230,230.767
neckline edge,52.3199,117.306,72.096,230.794
neckline edge,52.4058,117.469,71.961,230.822
neckline edge,52.4916,117.633,71.828,230.850
neckline edge,52.5775,117.796,71.693,230.878
neckline edge,52.6633,117.960,71.559,230.906
neckline edge,52.7491,118.124,71.425,230.933
neckline edge,52.8350,118.287,71.292,230.961
neckline edge,52.9208,118.451,71.158,230.989
neckline edge,53.0067,118.616,71.025,231.017
neckline edge,53.0925,118.780,70.892,231.044
neckline edge,53.1783,118.944,70.759,231.072
neckline edge,53.2642,119.108,70.627,231.100
neckline edge,53.3500,119.273,70.494,231.128
neckline edge,53.4359,119.437,70.361,231.156
neckline edge,53.5217,119.602,70.229,231.184
neckline edge,53.6075,119.766,70.098,231.211
neckline edge,53.6934,119.931,69.966,231.239
neckline edge,53.7792,120.096,69.834,231.267
neckline edge,53.8651,120.261,69.703,231.295
neckline edge,53.9509,120.426,69.572,231.323
neckline edge,54.0367,120.592,69.441,231.351
neckline edge,54.1226,120.758,69.310,231.379
neckline edge,54.2084,120.923,69.180,231.407
neckline edge,54.2943,121.089,69.050,231.434
neckline edge,54.3801,121.254,68.920,231.462
neckline edge,54.4659,121.421,68.790,231.490
neckline edge,54.5518,121.587,68.661,231.518
neckline edge,54.6376,121.753,68.531,231.546
neckline edge,54.7235,121.919,68.403,231.574
neckline edge,54.8093,122.086,68.274,231.602
neckline edge,54.8951,122.253,68.145,231.630
neckline edge,54.9810,122.420,68.017,231.658
neckline edge,55.0668,122.586,67.889,231.686
neckline edge,55.1527,122.753,67.762,231.714
neckline edge,55.2385,122.921,67.634,231.742
neckline edge,55.3244,123.088,67.507,231.770
neckline edge,55.4102,123.256,67.380,231.798
neckline edge,55.4960,123.423,67.254,231.825
neckline edge,55.5819,123.591,67.127,231.853
neckline edge,55.6677,123.759,67.001,231.881
neckline edge,55.7536,123.928,66.875,231.909
neckline edge,55.8394,124.096,66.750,231.937
neckline edge,55.9252,124.264,66.625,231.965
neckline edge,56.0111,124.434,66.500,231.993
neckline edge,56.0969,124.603,66.375,232.021
neckline edge,56.1828,124.771,66.251,232.049
neckline edge,56.2686,124.940,66.128,232.077
neckline edge,56.3544,125.110,66.004,232.105
neckline edge,56.4403,125.280,65.880,232.133
neckline edge,56.5261,125.450,65.757,232.161
neckline edge,56.6120,125.620,65.635,232.189
neckline edge,56.6978,125.790,65.513,232.217
neckline edge,56.7836,125.960,65.391,232.245
neckline edge,56.8695,126.130,65.270,232.273
neckline edge,56.9553,126.300,65.148,232.301
neckline edge,57.0412,126.470,65.025,232.329
neckline edge,57.1270,126.639,64.902,232.357
neckline edge,57.2128,126.809,64.779,232.385
neckline edge,57.2987,126.978,64.656,232.413
neckline edge,57.3845,127.147,64.533,232.441
neckline edge,57.4704,127.316,64.409,232.469
neckline edge,57.5562,127.484,64.285,232.497
neckline edge,57.6421,127.653,64.161,232.525
neckline edge,57.7279,127.821,64.037,232.553
neckline edge,57.8137,127.989,63.912,232.581
neckline edge,57.8996,128.156,63.787,232.609
neckline edge,57.9854,128.324,63.662,232.637
neckline edge,58.0713,128.491,63.536,232.665
neckline edge,58.1571,128.658,63.411,232.693
neckline edge,58.2429,128.825,63.285,232.721
neckline edge,58.3288,128.992,63.158,232.749
neckline edge,58.4146,129.158,63.032,232.777
neckline edge,58.5005,129.324,62.906,232.805
neckline edge,58.5863,129.490,62.779,232.833
neckline edge,58.6721,129.656,62.652,232.861
neckline edge,58.7580,129.821,62.524,232.889
neckline edge,58.8438,129.986,62.397,232.917
neckline edge,58.9297,130.151,62.269,232.945
neckline edge,59.0155,130.316,62.141,232.973
neckline edge,59.1013,130.481,62.012,233.001
neckline edge,59.1872,130.645,61.884,233.029
neckline edge,59.2730,130.809,61.755,233.057
neckline edge,59.3589,130.973,61.626,233.085
neckline edge,59.4447,131.136,61.497,233.113
neckline edge,59.5305,131.300,61.367,233.141
neckline edge,59.6164,131.463,61.237,233.169
neckline edge,59.7022,131.626,61.107,233.197
neckline edge,59.7881,131.788,60.977,233.224
neckline edge,59.8739,131.951,60.846,233.252
neckline edge,59.9598,132.113,60.716,233.280
neckline edge,60.0456,132.275,60.585,233.308
neckline edge,60.1314,132.437,60.453,233.336
neckline edge,60.2173,132.598,60.322,233.364
neckline edge,60.3031,132.759,60.190,233.392
neckline edge,60.3890,132.920,60.058,233.420
neckline edge,60.4748,133.080,59.926,233.448
neckline edge,60.5606,133.241,59.793,233.476
neckline edge,60.6465,133.401,59.661,233.504
neckline edge,60.7323,133.561,59.528,233.532
neckline edge,60.8182,133.720,59.394,233.560
neckline edge,60.9040,133.880,59.261,233.588
neckline edge,60.9898,134.039,59.127,233.616
neckline edge,61.0757,134.198,58.993,233.643
neckline edge,61.1615,134.357,58.859,233.671
neckline edge,61.2474,134.515,58.724,233.699
neckline edge,61.3332,134.673,58.589,233.727
neckline edge,61.4190,134.831,58.454,233.755
neckline edge,61.5049,134.989,58.319,233.783
neckline edge,61.5907,135.146,58.184,233.811
neckline edge,61.6766,135.303,58.048,233.839
neckline edge,61.7624,135.460,57.912,233.866
neckline edge,61.8482,135.616,57.776,233.894
neckline edge,61.9341,135.773,57.639,233.922
neckline edge,62.0199,135.929,57.502,233.950
neckline edge,62.1058,136.085,57.365,233.978
neckline edge,62.1916,136.240,57.228,234.006
neckline edge,62.2775,136.395,57.091,234.033
neckline edge,62.3633,136.550,56.953,234.061
neckline edge,62.4491,136.705,56.815,234.089
neckline edge,62.5350,136.859,56.677,234.117
neckline edge,62.6208,137.013,56.538,234.145
neckline edge,62.7067,137.167,56.399,234.172
neckline edge,62.7925,137.321,56.260,234.200
neckline edge,62.8783,137.474,56.121,234.228
neckline edge,62.9642,137.627,55.981,234.256
neckline edge,63.0500,137.780,55.841,234.284
neckline edge,63.1359,137.933,55.701,234.311
neckline edge,63.2217,138.085,55.561,234.339
neckline edge,63.3075,138.237,55.420,234.367
neckline edge,63.3934,138.388,55.280,234.394
neckline edge,63.4792,138.540,55.138,234.422
neckline edge,63.5651,138.691,54.997,234.450
neckline edge,63.6509,138.842,54.856,234.478
neckline edge,63.7367,138.992,54.714,234.505
neckline edge,63.8226,139.142,54.572,234.533
neckline edge,63.9084,139.292,54.429,234.561
neckline edge,63.9943,139.442,54.287,234.588
neckline edge,64.0801,139.591,54.144,234.616
neckline edge,64.1659,139.740,54.001,234.644
neckline edge,64.2518,139.889,53.857,234.671
neckline edge,64.3376,140.038,53.713,234.699
neckline edge,64.4235,140.186,53.570,234.726
neckline edge,64.5093,140.333,53.425,234.754
neckline edge,64.5952,140.481,53.281,234.782
neckline edge,64.6810,140.629,53.136,234.809
neckline edge,64.7668,140.776,52.991,234.837
neckline edge,64.8527,140.922,52.846,234.864
neckline edge,64.9385,141.068,52.701,234.892
neckline edge,65.0244,141.215,52.555,234.920
neckline edge,65.1102,141.360,52.409,234.947
neckline edge,65.1960,141.506,52.263,234.975
neckline edge,65.2819,141.651,52.116,235.002
neckline edge,65.3677,141.796,51.969,235.030
neckline edge,65.4536,141.940,51.822,235.057
neckline edge,65.5394,142.084,51.675,235.085
neckline edge,65.6252,142.228,51.528,235.112
neckline edge,65.7111,142.372,51.380,235.140
neckline edge,65.7969,142.515,51.232,235.167
neckline edge,65.8828,142.658,51.083,235.194
neckline edge,65.9686,142.801,50.935,235.222
neckline edge,66.0544,142.943,50.786,235.249
neckline edge,66.1403,143.085,50.637,235.277
neckline edge,66.2261,143.227,50.487,235.304
neckline edge,66.3120,143.368,50.338,235.331
neckline edge,66.3978,143.509,50.188,235.359
neckline edge,66.4836,143.650,50.038,235.386
neckline edge,66.5695,143.790,49.887,235.413
neckline edge,66.6553,143.930,49.737,235.441
neckline edge,66.7412,144.070,49.586,235.468
neckline edge,66.8270,144.209,49.434,235.495
neckline edge,66.9129,144.348,49.283,235.523
neckline edge,66.9987,144.487,49.131,235.550
neckline edge,67.0845,144.625,48.979,235.577
neckline edge,67.1704,144.763,48.827,235.604
neckline edge,67.2562,144.901,48.674,235.632
neckline edge,67.3421,145.039,48.522,235.659
neckline edge,67.4279,145.176,48.369,235.686
neckline edge,67.5137,145.312,48.215,235.713
neckline edge,67.5996,145.449,48.062,235.741
neckline edge,67.6854,145.585,47.908,235.768
neckline edge,67.7713,145.721,47.754,235.795
neckline edge,67.8571,145.856,47.599,235.822
neckline edge,67.9429,145.991,47.445,235.849
neckline edge,68.0288,146.126,47.290,235.876
neckline edge,68.1146,146.260,47.135,235.903
neckline edge,68.2005,146.394,46.979,235.930
neckline edge,68.2863,146.527,46.824,235.957
